task_type,steps,threshold,corruption_rate,4k_diffusion_bleu,4k_baseline_bleu,4k_bleu_delta,4k_diffusion_rouge1,4k_baseline_rouge1,4k_rouge1_delta,4k_final_masked_tokens,16k_diffusion_bleu,16k_baseline_bleu,16k_bleu_delta,16k_diffusion_rouge1,16k_baseline_rouge1,16k_rouge1_delta,16k_final_masked_tokens,fullwiki_diffusion_bleu,fullwiki_baseline_bleu,fullwiki_bleu_delta,fullwiki_diffusion_rouge1,fullwiki_baseline_rouge1,fullwiki_rouge1_delta,fullwiki_final_masked_tokens,bleu_delta_gain_4k_to_16k,bleu_delta_gain_16k_to_fullwiki,bleu_delta_gain_4k_to_fullwiki
denoising,5,0.8,0.3,0.2714,0.365,-0.0936,0.3207,0.4023,-0.0816,18.0,0.328,0.3365,-0.0085,0.3738,0.3862,-0.0124,14.0,0.2659,0.2391,0.0268,0.3325,0.2989,0.0336,16.0,0.08510000000000001,0.0353,0.12040000000000001
denoising,3,0.7,0.3,0.2805,0.3538,-0.0733,0.3157,0.3999,-0.0842,12.0,0.3189,0.3263,-0.0074,0.3649,0.3772,-0.0123,18.0,0.3833,0.3931,-0.0098,0.4041,0.4162,-0.0121,12.0,0.0659,-0.0023999999999999994,0.0635
denoising,5,0.8,0.5,0.2162,0.233,-0.0168,0.2887,0.3189,-0.0302,45.0,0.1887,0.1975,-0.0088,0.2602,0.2855,-0.0252,40.0,0.2446,0.1996,0.045,0.2829,0.2639,0.019,35.0,0.007999999999999998,0.0538,0.061799999999999994
denoising,10,0.8,0.5,0.1738,0.2242,-0.0504,0.2256,0.2832,-0.0575,32.0,0.225,0.2418,-0.0168,0.2639,0.2869,-0.023,38.0,0.253,0.2435,0.0095,0.3145,0.327,-0.0125,31.0,0.033600000000000005,0.026299999999999997,0.0599
denoising,5,0.7,0.1,0.3512,0.4214,-0.0701,0.3735,0.436,-0.0625,4.0,0.4067,0.4121,-0.0054,0.4245,0.4288,-0.0043,5.0,0.4032,0.4147,-0.0115,0.4243,0.4326,-0.0082,3.0,0.0647,-0.0060999999999999995,0.0586
denoising,3,0.8,0.1,0.3482,0.3877,-0.0395,0.3853,0.4175,-0.0322,5.0,0.3592,0.3626,-0.0034,0.4017,0.4047,-0.003,6.0,0.4332,0.4307,0.0025,0.4451,0.4442,0.0009,0.0,0.0361,0.0059,0.042
denoising,10,0.7,0.1,0.3378,0.3728,-0.035,0.3803,0.4126,-0.0322,2.0,0.356,0.36,-0.004,0.3958,0.4003,-0.0046,5.0,0.3988,0.3918,0.007,0.4118,0.4101,0.0017,2.0,0.031000000000000003,0.011,0.042
denoising,1,0.8,0.5,0.198,0.1996,-0.0015,0.2662,0.284,-0.0178,43.0,0.2275,0.2844,-0.0569,0.2695,0.3472,-0.0778,46.0,0.2576,0.2241,0.0335,0.3188,0.299,0.0198,46.0,-0.0554,0.09040000000000001,0.035
denoising,1,0.7,0.1,0.2746,0.3112,-0.0366,0.3401,0.3759,-0.0358,8.0,0.2688,0.308,-0.0393,0.3364,0.3739,-0.0375,9.0,0.3114,0.3193,-0.0079,0.369,0.3789,-0.0099,5.0,-0.002700000000000001,0.0314,0.0287
denoising,1,0.7,0.3,0.2541,0.2789,-0.0248,0.2962,0.3364,-0.0402,20.0,0.2541,0.2781,-0.024,0.2962,0.3347,-0.0385,17.0,0.3058,0.303,0.0028,0.3567,0.3487,0.008,17.0,0.0007999999999999986,0.0268,0.0276
denoising,5,0.9,0.5,0.1931,0.2324,-0.0393,0.2765,0.3245,-0.048,52.0,0.2325,0.2593,-0.0268,0.2835,0.3296,-0.0461,50.0,0.2533,0.2663,-0.0131,0.2786,0.3118,-0.0332,42.0,0.0125,0.0137,0.0262
denoising,1,0.9,0.3,0.265,0.2989,-0.0339,0.2997,0.3546,-0.055,23.0,0.3116,0.3131,-0.0015,0.362,0.364,-0.002,23.0,0.2411,0.2548,-0.0137,0.3076,0.3303,-0.0226,25.0,0.0324,-0.0122,0.0202
denoising,10,0.9,0.5,0.2173,0.2431,-0.0258,0.2504,0.3088,-0.0584,44.0,0.1996,0.3426,-0.143,0.2213,0.3732,-0.1519,46.0,0.2187,0.2301,-0.0114,0.2618,0.2807,-0.0189,43.0,-0.11719999999999998,0.1316,0.0144
denoising,5,0.7,0.3,0.2837,0.2862,-0.0025,0.3457,0.353,-0.0073,19.0,0.3,0.3049,-0.005,0.3502,0.359,-0.0088,19.0,0.3238,0.3142,0.0096,0.353,0.3517,0.0012,15.0,-0.0025,0.014599999999999998,0.0121
denoising,5,0.7,0.5,0.2648,0.2797,-0.0149,0.3212,0.3372,-0.016,40.0,0.1906,0.1903,0.0003,0.2432,0.2539,-0.0106,34.0,0.2259,0.2304,-0.0045,0.2594,0.2715,-0.0121,34.0,0.0152,-0.0048,0.0104
