task_type,steps,threshold,corruption_rate,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta
denoising,1,0.7,0.1,0.2746,0.3112,-0.0366,0.3401,0.3759,-0.0358
denoising,1,0.7,0.3,0.2541,0.2789,-0.0248,0.2962,0.3364,-0.0402
denoising,1,0.7,0.5,0.2068,0.1854,0.0214,0.274,0.2591,0.0149
denoising,3,0.7,0.1,0.35,0.3482,0.0018,0.3947,0.3977,-0.003
denoising,3,0.7,0.3,0.2805,0.3538,-0.0733,0.3157,0.3999,-0.0842
denoising,3,0.7,0.5,0.2047,0.201,0.0038,0.2588,0.2864,-0.0276
denoising,5,0.7,0.1,0.3512,0.4214,-0.0701,0.3735,0.436,-0.0625
denoising,5,0.7,0.3,0.2837,0.2862,-0.0025,0.3457,0.353,-0.0073
denoising,5,0.7,0.5,0.2648,0.2797,-0.0149,0.3212,0.3372,-0.016
denoising,10,0.7,0.1,0.3378,0.3728,-0.035,0.3803,0.4126,-0.0322
denoising,10,0.7,0.3,0.3162,0.3183,-0.0021,0.3426,0.3463,-0.0038
denoising,10,0.7,0.5,0.2378,0.241,-0.0032,0.278,0.2862,-0.0082
denoising,1,0.8,0.1,0.3187,0.3081,0.0105,0.3596,0.3678,-0.0082
denoising,1,0.8,0.3,0.2422,0.2467,-0.0045,0.3133,0.3306,-0.0173
denoising,1,0.8,0.5,0.198,0.1996,-0.0015,0.2662,0.284,-0.0178
denoising,3,0.8,0.1,0.3482,0.3877,-0.0395,0.3853,0.4175,-0.0322
denoising,3,0.8,0.3,0.3329,0.3421,-0.0092,0.3746,0.3831,-0.0085
denoising,3,0.8,0.5,0.1982,0.2507,-0.0525,0.2335,0.312,-0.0784
denoising,5,0.8,0.1,0.3569,0.3569,0.0001,0.3988,0.3968,0.002
denoising,5,0.8,0.3,0.2714,0.365,-0.0936,0.3207,0.4023,-0.0816
denoising,5,0.8,0.5,0.2162,0.233,-0.0168,0.2887,0.3189,-0.0302
denoising,10,0.8,0.1,0.3707,0.3723,-0.0016,0.4109,0.4126,-0.0017
denoising,10,0.8,0.3,0.3009,0.2838,0.0172,0.362,0.3341,0.0279
denoising,10,0.8,0.5,0.1738,0.2242,-0.0504,0.2256,0.2832,-0.0575
denoising,1,0.9,0.1,0.3048,0.3059,-0.0011,0.3669,0.3708,-0.0038
denoising,1,0.9,0.3,0.265,0.2989,-0.0339,0.2997,0.3546,-0.055
denoising,1,0.9,0.5,0.2241,0.2461,-0.022,0.2775,0.3332,-0.0556
denoising,3,0.9,0.1,0.3598,0.3699,-0.0101,0.4011,0.4091,-0.008
denoising,3,0.9,0.3,0.2797,0.2939,-0.0142,0.3294,0.3508,-0.0213
denoising,3,0.9,0.5,0.1998,0.2089,-0.0091,0.2395,0.3005,-0.0611
denoising,5,0.9,0.1,0.3057,0.3139,-0.0081,0.3648,0.373,-0.0082
denoising,5,0.9,0.3,0.2782,0.2731,0.0051,0.3298,0.3374,-0.0075
denoising,5,0.9,0.5,0.1931,0.2324,-0.0393,0.2765,0.3245,-0.048
denoising,10,0.9,0.1,0.3156,0.3274,-0.0118,0.3527,0.3858,-0.0331
denoising,10,0.9,0.3,0.3166,0.3212,-0.0046,0.3601,0.3848,-0.0247
denoising,10,0.9,0.5,0.2173,0.2431,-0.0258,0.2504,0.3088,-0.0584
