task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,1,0.5,0.1,True,False,0.2711,0.308,-0.0369,0.3387,0.3739,-0.0352,9.0,0.6903
denoising,1,0.5,0.3,True,False,0.2653,0.2768,-0.0115,0.3005,0.3339,-0.0334,14.0,0.6322
denoising,1,0.5,0.5,True,False,0.2065,0.1858,0.0207,0.2506,0.2576,-0.007,34.0,0.5145
denoising,1,0.5,0.6,True,False,0.1005,0.157,-0.0565,0.165,0.2444,-0.0795,48.0,0.4501
denoising,3,0.5,0.1,True,False,0.386,0.3514,0.0346,0.3997,0.3761,0.0236,6.0,0.7019
denoising,3,0.5,0.3,True,False,0.3285,0.3313,-0.0028,0.3793,0.3821,-0.0028,8.0,0.7049
denoising,3,0.5,0.5,True,False,0.3073,0.2671,0.0402,0.3307,0.3092,0.0216,21.0,0.6258
denoising,3,0.5,0.6,True,False,0.2229,0.2364,-0.0135,0.2764,0.2995,-0.0232,28.0,0.6289
denoising,5,0.5,0.1,True,False,0.3793,0.3805,-0.0011,0.395,0.4033,-0.0083,4.0,0.6984
denoising,5,0.5,0.3,True,False,0.3032,0.304,-0.0007,0.3544,0.356,-0.0016,8.0,0.6907
denoising,5,0.5,0.5,True,False,0.193,0.1918,0.0012,0.2472,0.2541,-0.0069,25.0,0.6249
denoising,5,0.5,0.6,True,False,0.1972,0.1909,0.0063,0.2574,0.2579,-0.0005,26.0,0.6233
denoising,10,0.5,0.1,True,False,0.4225,0.4149,0.0075,0.4354,0.4301,0.0053,1.0,0.6879
denoising,10,0.5,0.3,True,False,0.3284,0.2958,0.0326,0.3778,0.3521,0.0257,9.0,0.6988
denoising,10,0.5,0.5,True,False,0.2129,0.2533,-0.0404,0.2605,0.3029,-0.0424,23.0,0.6088
denoising,10,0.5,0.6,True,False,0.193,0.1726,0.0203,0.2749,0.2605,0.0144,15.0,0.6539
denoising,15,0.5,0.1,True,False,0.3705,0.3698,0.0007,0.409,0.4076,0.0014,1.0,0.6849
denoising,15,0.5,0.3,True,False,0.2975,0.3224,-0.0249,0.3264,0.3716,-0.0452,8.0,0.6887
denoising,15,0.5,0.5,True,False,0.1876,0.1927,-0.0051,0.2506,0.2591,-0.0085,20.0,0.6613
denoising,15,0.5,0.6,True,False,0.206,0.1803,0.0256,0.2752,0.2677,0.0075,17.0,0.655
denoising,20,0.5,0.1,True,False,0.4194,0.4108,0.0086,0.4362,0.428,0.0082,1.0,0.6802
denoising,20,0.5,0.3,True,False,0.399,0.405,-0.006,0.4168,0.4235,-0.0068,7.0,0.711
denoising,20,0.5,0.5,True,False,0.2725,0.2774,-0.0049,0.3288,0.337,-0.0082,15.0,0.6636
