task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,3,0.8,0.1,True,False,0.4332,0.4307,0.0025,0.4451,0.4442,0.0009,0.0,0.6881
denoising,10,0.6,0.1,True,False,0.4316,0.4315,0.0001,0.4434,0.4457,-0.0023,2.0,0.6972
denoising,20,0.7,0.1,True,False,0.4264,0.4278,-0.0014,0.4404,0.4421,-0.0017,2.0,0.7158
denoising,10,0.5,0.1,True,False,0.4225,0.4149,0.0075,0.4354,0.4301,0.0053,1.0,0.6879
denoising,25,0.9,0.1,True,False,0.4215,0.4281,-0.0066,0.4355,0.4412,-0.0057,6.0,0.7126
denoising,20,0.5,0.1,True,False,0.4194,0.4108,0.0086,0.4362,0.428,0.0082,1.0,0.6802
denoising,30,0.5,0.3,True,False,0.418,0.4159,0.0022,0.4306,0.4302,0.0004,3.0,0.7096
denoising,1,0.8,0.1,True,False,0.4138,0.4281,-0.0143,0.431,0.4418,-0.0108,5.0,0.7202
denoising,65,0.8,0.1,True,False,0.4136,0.414,-0.0004,0.4316,0.4325,-0.0009,2.0,0.6834
denoising,3,0.9,0.1,True,False,0.4103,0.426,-0.0157,0.4269,0.4398,-0.0129,6.0,0.7054
