task_type,steps,threshold,corruption_rate,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,1,0.5,0.1,0.2712,0.3101,-0.0389,0.3381,0.3741,-0.036,6.0,0.698
denoising,1,0.5,0.3,0.2653,0.2776,-0.0123,0.3005,0.3356,-0.0351,17.0,0.655
denoising,1,0.5,0.5,0.2168,0.1937,0.0231,0.2842,0.2732,0.0109,38.0,0.5156
denoising,1,0.5,0.6,0.1693,0.1796,-0.0104,0.2208,0.2613,-0.0404,51.0,0.4666
denoising,3,0.5,0.1,0.4277,0.4197,0.0079,0.4412,0.4363,0.0048,3.0,0.7141
denoising,3,0.5,0.3,0.3262,0.3246,0.0017,0.3739,0.3771,-0.0032,12.0,0.6875
denoising,3,0.5,0.5,0.2586,0.2847,-0.0261,0.2948,0.3259,-0.0311,29.0,0.6092
denoising,3,0.5,0.6,0.2357,0.2392,-0.0035,0.2927,0.3019,-0.0092,37.0,0.5814
denoising,5,0.5,0.1,0.4092,0.4199,-0.0108,0.4262,0.4379,-0.0117,2.0,0.7115
denoising,5,0.5,0.3,0.3043,0.3098,-0.0055,0.3527,0.362,-0.0093,8.0,0.6877
denoising,5,0.5,0.5,0.2019,0.1908,0.0111,0.2712,0.2522,0.019,30.0,0.61
denoising,5,0.5,0.6,0.1782,0.1997,-0.0216,0.2251,0.2646,-0.0396,29.0,0.6211
denoising,10,0.5,0.1,0.3678,0.3603,0.0075,0.4059,0.4006,0.0053,1.0,0.7041
denoising,10,0.5,0.3,0.3408,0.336,0.0047,0.3858,0.3873,-0.0016,6.0,0.7052
denoising,10,0.5,0.5,0.2259,0.1995,0.0264,0.2666,0.2379,0.0287,23.0,0.6465
denoising,10,0.5,0.6,0.1869,0.1706,0.0163,0.2663,0.2584,0.0079,27.0,0.6288
denoising,15,0.5,0.1,0.3745,0.3661,0.0084,0.412,0.4079,0.0041,2.0,0.7027
denoising,15,0.5,0.3,0.3039,0.3058,-0.0019,0.3317,0.3709,-0.0392,9.0,0.6934
denoising,15,0.5,0.5,0.1961,0.2118,-0.0157,0.259,0.2719,-0.0129,23.0,0.6489
denoising,15,0.5,0.6,0.2033,0.1951,0.0082,0.2824,0.2886,-0.0062,21.0,0.6484
denoising,20,0.5,0.1,0.349,0.352,-0.003,0.3737,0.3958,-0.022,2.0,0.6948
denoising,20,0.5,0.3,0.2886,0.3044,-0.0158,0.3221,0.3542,-0.0321,5.0,0.7076
denoising,20,0.5,0.5,0.2602,0.2732,-0.013,0.3149,0.3378,-0.0228,26.0,0.6484
denoising,20,0.5,0.6,0.1765,0.2041,-0.0276,0.2493,0.2832,-0.0339,18.0,0.6618
denoising,25,0.5,0.1,0.3852,0.3134,0.0719,0.4154,0.3529,0.0625,1.0,0.6931
denoising,25,0.5,0.3,0.3307,0.3057,0.025,0.3811,0.3357,0.0453,4.0,0.7108
denoising,25,0.5,0.5,0.2187,0.2178,0.0009,0.2895,0.2943,-0.0048,6.0,0.7116
denoising,25,0.5,0.6,0.1889,0.1666,0.0223,0.256,0.2212,0.0348,16.0,0.6607
denoising,30,0.5,0.1,0.4143,0.3588,0.0555,0.4309,0.4029,0.028,1.0,0.7015
denoising,30,0.5,0.3,0.4269,0.418,0.0089,0.4381,0.4345,0.0036,2.0,0.7105
denoising,30,0.5,0.5,0.2402,0.2516,-0.0114,0.3156,0.318,-0.0025,12.0,0.6948
denoising,30,0.5,0.6,0.1636,0.1647,-0.0012,0.202,0.2039,-0.0018,32.0,0.594
denoising,1,0.6,0.1,0.3085,0.3554,-0.047,0.3583,0.3992,-0.0409,7.0,0.7075
denoising,1,0.6,0.3,0.2901,0.3289,-0.0388,0.3257,0.38,-0.0543,19.0,0.6418
denoising,1,0.6,0.5,0.2194,0.2393,-0.0199,0.2697,0.2921,-0.0224,38.0,0.5389
denoising,1,0.6,0.6,0.1652,0.177,-0.0117,0.237,0.2576,-0.0206,58.0,0.4464
denoising,3,0.6,0.1,0.3268,0.3764,-0.0496,0.3831,0.4121,-0.029,6.0,0.709
denoising,3,0.6,0.3,0.2827,0.2966,-0.0139,0.3317,0.3503,-0.0186,11.0,0.6773
denoising,3,0.6,0.5,0.2877,0.2894,-0.0018,0.3308,0.3441,-0.0132,26.0,0.6425
denoising,3,0.6,0.6,0.1996,0.211,-0.0114,0.2557,0.2924,-0.0367,46.0,0.5477
denoising,5,0.6,0.1,0.3593,0.3557,0.0035,0.4019,0.3982,0.0037,4.0,0.714
denoising,5,0.6,0.3,0.3333,0.3482,-0.0148,0.361,0.3966,-0.0356,6.0,0.7014
denoising,5,0.6,0.5,0.3156,0.2624,0.0533,0.36,0.3239,0.0361,24.0,0.6524
denoising,5,0.6,0.6,0.1855,0.1766,0.0089,0.2672,0.2644,0.0027,45.0,0.5602
denoising,10,0.6,0.1,0.2851,0.3153,-0.0302,0.3457,0.3744,-0.0287,2.0,0.6931
denoising,10,0.6,0.3,0.2846,0.3246,-0.04,0.3411,0.3796,-0.0385,12.0,0.688
denoising,10,0.6,0.5,0.2835,0.2848,-0.0013,0.303,0.326,-0.023,21.0,0.6337
denoising,10,0.6,0.6,0.204,0.1985,0.0056,0.2274,0.2296,-0.0022,33.0,0.6039
