task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,1,0.5,0.1,True,False,0.2719,0.308,-0.0361,0.3384,0.3739,-0.0355,8.0,0.6919
denoising,1,0.5,0.3,True,False,0.2583,0.2781,-0.0197,0.2996,0.3347,-0.0351,13.0,0.626
denoising,1,0.5,0.5,True,False,0.2044,0.2075,-0.003,0.2709,0.2977,-0.0267,39.0,0.4965
denoising,1,0.5,0.6,True,False,0.1738,0.176,-0.0022,0.242,0.2595,-0.0175,47.0,0.4359
denoising,1,0.5,0.7,True,False,0.1373,0.1409,-0.0035,0.1882,0.1996,-0.0114,63.0,0.3561
denoising,3,0.5,0.1,True,False,0.3717,0.3727,-0.001,0.4095,0.4118,-0.0023,4.0,0.6707
denoising,3,0.5,0.3,True,False,0.3394,0.3421,-0.0027,0.378,0.3846,-0.0065,13.0,0.6869
denoising,3,0.5,0.5,True,False,0.1915,0.1944,-0.0028,0.2542,0.264,-0.0099,27.0,0.6109
denoising,3,0.5,0.6,True,False,0.2069,0.2211,-0.0143,0.2448,0.2672,-0.0224,46.0,0.5334
denoising,3,0.5,0.7,True,False,0.2462,0.2237,0.0225,0.2934,0.31,-0.0166,43.0,0.5101
denoising,5,0.5,0.1,True,False,0.3849,0.349,0.0359,0.4142,0.3847,0.0296,4.0,0.6696
denoising,5,0.5,0.3,True,False,0.2967,0.3385,-0.0419,0.3495,0.3888,-0.0393,8.0,0.7029
denoising,5,0.5,0.5,True,False,0.2851,0.2678,0.0172,0.3409,0.3334,0.0074,22.0,0.6241
denoising,5,0.5,0.6,True,False,0.2447,0.2462,-0.0015,0.2963,0.3025,-0.0062,30.0,0.6101
denoising,5,0.5,0.7,True,False,0.1666,0.1666,0.0,0.2447,0.25,-0.0053,34.0,0.5694
denoising,10,0.5,0.1,True,False,0.3506,0.3716,-0.021,0.3726,0.4103,-0.0376,5.0,0.6761
denoising,10,0.5,0.3,True,False,0.3148,0.3453,-0.0306,0.3408,0.3895,-0.0487,10.0,0.6881
denoising,10,0.5,0.5,True,False,0.2931,0.264,0.0292,0.3412,0.3269,0.0143,20.0,0.6511
denoising,10,0.5,0.6,True,False,0.1793,0.1768,0.0025,0.2458,0.2536,-0.0078,16.0,0.6538
denoising,10,0.5,0.7,True,False,0.2208,0.2253,-0.0045,0.2659,0.2909,-0.025,30.0,0.6144
denoising,15,0.5,0.1,True,False,0.3253,0.3625,-0.0371,0.3722,0.4047,-0.0325,3.0,0.6616
denoising,15,0.5,0.3,True,False,0.2899,0.2639,0.026,0.3524,0.3304,0.022,5.0,0.6518
denoising,15,0.5,0.5,True,False,0.2266,0.2328,-0.0062,0.2984,0.3057,-0.0072,12.0,0.7053
denoising,15,0.5,0.6,True,False,0.1712,0.1544,0.0167,0.2368,0.2059,0.0309,24.0,0.6138
denoising,15,0.5,0.7,True,False,0.1732,0.1751,-0.0018,0.2574,0.2694,-0.0121,28.0,0.6083
denoising,20,0.5,0.1,True,False,0.3791,0.3764,0.0027,0.4108,0.4102,0.0006,2.0,0.687
denoising,20,0.5,0.3,True,False,0.2861,0.3345,-0.0484,0.34,0.3849,-0.0448,8.0,0.7083
denoising,20,0.5,0.5,True,False,0.2397,0.2423,-0.0026,0.3068,0.3031,0.0038,14.0,0.6874
denoising,20,0.5,0.6,True,False,0.2085,0.1783,0.0302,0.2801,0.2462,0.0339,25.0,0.6261
denoising,20,0.5,0.7,True,False,0.2374,0.2284,0.009,0.2755,0.2753,0.0002,32.0,0.576
denoising,25,0.5,0.1,True,False,0.3607,0.3601,0.0006,0.4033,0.4032,0.0002,1.0,0.6658
denoising,25,0.5,0.3,True,False,0.3333,0.3367,-0.0034,0.3783,0.3858,-0.0074,5.0,0.681
denoising,25,0.5,0.5,True,False,0.2273,0.1873,0.04,0.2979,0.2545,0.0434,7.0,0.6799
denoising,25,0.5,0.6,True,False,0.1726,0.1775,-0.0049,0.2345,0.2461,-0.0117,13.0,0.6755
denoising,25,0.5,0.7,True,False,0.2514,0.2346,0.0168,0.3102,0.2828,0.0274,23.0,0.6359
denoising,30,0.5,0.1,True,False,0.4203,0.4177,0.0027,0.4369,0.4352,0.0017,0.0,0.6627
denoising,30,0.5,0.3,True,False,0.3058,0.314,-0.0082,0.3548,0.3468,0.008,5.0,0.6507
denoising,30,0.5,0.5,True,False,0.2793,0.3095,-0.0302,0.3359,0.3418,-0.0059,15.0,0.6646
denoising,30,0.5,0.6,True,False,0.1885,0.1698,0.0187,0.2672,0.2639,0.0033,26.0,0.6314
denoising,30,0.5,0.7,True,False,0.2145,0.2168,-0.0023,0.2812,0.2921,-0.0109,28.0,0.6147
denoising,65,0.5,0.1,True,False,0.3726,0.3695,0.0031,0.409,0.407,0.002,0.0,0.6736
denoising,65,0.5,0.3,True,False,0.3216,0.3599,-0.0383,0.3702,0.4032,-0.033,3.0,0.6453
denoising,65,0.5,0.5,True,False,0.2937,0.3045,-0.0108,0.3285,0.3598,-0.0313,11.0,0.6705
denoising,65,0.5,0.6,True,False,0.1867,0.1841,0.0026,0.2616,0.274,-0.0124,16.0,0.6322
denoising,65,0.5,0.7,True,False,0.1802,0.1529,0.0273,0.2614,0.2394,0.022,30.0,0.6045
denoising,1,0.6,0.1,True,False,0.4162,0.4203,-0.0041,0.4315,0.4369,-0.0054,2.0,0.7243
denoising,1,0.6,0.3,True,False,0.2567,0.292,-0.0353,0.2996,0.3485,-0.0489,24.0,0.5909
denoising,1,0.6,0.5,True,False,0.2492,0.2592,-0.01,0.2832,0.3354,-0.0522,41.0,0.4993
denoising,1,0.6,0.6,True,False,0.1548,0.1853,-0.0305,0.1885,0.2517,-0.0632,53.0,0.4596
denoising,1,0.6,0.7,True,False,0.1893,0.2202,-0.0309,0.2283,0.286,-0.0578,68.0,0.3744
denoising,3,0.6,0.1,True,False,0.425,0.4179,0.007,0.4379,0.4342,0.0037,3.0,0.6906
denoising,3,0.6,0.3,True,False,0.3296,0.3401,-0.0105,0.3738,0.3844,-0.0107,9.0,0.6895
denoising,3,0.6,0.5,True,False,0.2248,0.2532,-0.0284,0.265,0.314,-0.0489,39.0,0.5638
denoising,3,0.6,0.6,True,False,0.1909,0.1813,0.0096,0.2636,0.2708,-0.0072,43.0,0.5386
denoising,3,0.6,0.7,True,False,0.1536,0.18,-0.0264,0.204,0.2577,-0.0537,54.0,0.4984
denoising,5,0.6,0.1,True,False,0.3733,0.3683,0.0051,0.4136,0.4084,0.0052,2.0,0.6525
denoising,5,0.6,0.3,True,False,0.3218,0.3333,-0.0116,0.3479,0.3795,-0.0316,13.0,0.6541
denoising,5,0.6,0.5,True,False,0.221,0.293,-0.072,0.2607,0.3577,-0.0971,33.0,0.5723
denoising,5,0.6,0.6,True,False,0.2173,0.2181,-0.0008,0.2591,0.2645,-0.0054,38.0,0.5545
denoising,5,0.6,0.7,True,False,0.2047,0.2042,0.0005,0.2294,0.2353,-0.0059,48.0,0.5329
denoising,10,0.6,0.1,True,False,0.362,0.3537,0.0082,0.4033,0.3997,0.0037,1.0,0.6671
denoising,10,0.6,0.3,True,False,0.2881,0.2886,-0.0005,0.3479,0.3537,-0.0059,10.0,0.6892
denoising,10,0.6,0.5,True,False,0.2093,0.205,0.0044,0.2897,0.2929,-0.0032,21.0,0.6383
denoising,10,0.6,0.6,True,False,0.178,0.1652,0.0129,0.2373,0.2247,0.0127,35.0,0.59
denoising,10,0.6,0.7,True,False,0.206,0.2233,-0.0173,0.2565,0.2953,-0.0388,44.0,0.5429
denoising,15,0.6,0.1,True,False,0.3433,0.3588,-0.0155,0.3696,0.4023,-0.0327,5.0,0.6967
denoising,15,0.6,0.3,True,False,0.3399,0.2948,0.0451,0.3734,0.3414,0.0319,10.0,0.6824
denoising,15,0.6,0.5,True,False,0.2703,0.2422,0.028,0.3054,0.3072,-0.0018,23.0,0.6302
