task_type,steps,threshold,corruption_rate,4k_bleu_delta,16k_bleu_delta,fullwiki_bleu_delta,bleu_delta_gain_4k_to_fullwiki,4k_final_masked_tokens,16k_final_masked_tokens,fullwiki_final_masked_tokens
denoising,5,0.8,0.3,-0.0936,-0.0085,0.0268,0.12040000000000001,18.0,14.0,16.0
denoising,3,0.7,0.3,-0.0733,-0.0074,-0.0098,0.0635,12.0,18.0,12.0
denoising,5,0.8,0.5,-0.0168,-0.0088,0.045,0.061799999999999994,45.0,40.0,35.0
denoising,10,0.8,0.5,-0.0504,-0.0168,0.0095,0.0599,32.0,38.0,31.0
denoising,5,0.7,0.1,-0.0701,-0.0054,-0.0115,0.0586,4.0,5.0,3.0
denoising,3,0.8,0.1,-0.0395,-0.0034,0.0025,0.042,5.0,6.0,0.0
denoising,10,0.7,0.1,-0.035,-0.004,0.007,0.042,2.0,5.0,2.0
denoising,1,0.8,0.5,-0.0015,-0.0569,0.0335,0.035,43.0,46.0,46.0
denoising,1,0.7,0.1,-0.0366,-0.0393,-0.0079,0.0287,8.0,9.0,5.0
denoising,1,0.7,0.3,-0.0248,-0.024,0.0028,0.0276,20.0,17.0,17.0
denoising,5,0.9,0.5,-0.0393,-0.0268,-0.0131,0.0262,52.0,50.0,42.0
denoising,1,0.9,0.3,-0.0339,-0.0015,-0.0137,0.0202,23.0,23.0,25.0
denoising,10,0.9,0.5,-0.0258,-0.143,-0.0114,0.0144,44.0,46.0,43.0
denoising,5,0.7,0.3,-0.0025,-0.005,0.0096,0.0121,19.0,19.0,15.0
denoising,5,0.7,0.5,-0.0149,0.0003,-0.0045,0.0104,40.0,34.0,34.0
