task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,5,0.8,0.5,True,False,0.2446,0.1996,0.045,0.2829,0.2639,0.019,35.0,0.5834
denoising,20,0.6,0.3,True,False,0.3522,0.3074,0.0447,0.3742,0.3397,0.0345,8.0,0.6921
denoising,3,0.5,0.5,True,False,0.3073,0.2671,0.0402,0.3307,0.3092,0.0216,21.0,0.6258
denoising,3,0.5,0.1,True,False,0.386,0.3514,0.0346,0.3997,0.3761,0.0236,6.0,0.7019
denoising,1,0.8,0.5,True,False,0.2576,0.2241,0.0335,0.3188,0.299,0.0198,46.0,0.5445
denoising,10,0.5,0.3,True,False,0.3284,0.2958,0.0326,0.3778,0.3521,0.0257,9.0,0.6988
denoising,15,0.6,0.6,True,False,0.2036,0.1714,0.0322,0.2832,0.2646,0.0186,25.0,0.6352
denoising,25,0.5,0.6,True,False,0.1869,0.1554,0.0315,0.2525,0.2285,0.024,23.0,0.6123
denoising,5,0.8,0.3,True,False,0.2659,0.2391,0.0268,0.3325,0.2989,0.0336,16.0,0.6542
denoising,25,0.5,0.3,True,False,0.3372,0.3114,0.0257,0.3634,0.3471,0.0163,6.0,0.6739
