task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,65,0.7,0.1,True,False,0.4304,0.4304,0.0,0.4423,0.4423,0.0,0.0,0.6639
denoising,65,0.9,0.1,True,False,0.4289,0.4201,0.0088,0.4411,0.4352,0.006,2.0,0.6842
denoising,3,0.6,0.1,True,False,0.425,0.4179,0.007,0.4379,0.4342,0.0037,3.0,0.6906
denoising,30,0.5,0.1,True,False,0.4203,0.4177,0.0027,0.4369,0.4352,0.0017,0.0,0.6627
denoising,1,0.6,0.1,True,False,0.4162,0.4203,-0.0041,0.4315,0.4369,-0.0054,2.0,0.7243
denoising,15,0.9,0.1,True,False,0.4137,0.4209,-0.0072,0.4283,0.4363,-0.0079,6.0,0.6808
denoising,3,0.9,0.1,True,False,0.411,0.4203,-0.0093,0.4279,0.4369,-0.0089,4.0,0.6877
denoising,15,0.7,0.1,True,False,0.4104,0.4104,0.0,0.4305,0.4305,0.0,2.0,0.6899
denoising,3,0.8,0.1,True,False,0.41,0.41,0.0001,0.4296,0.4296,0.0,3.0,0.6806
denoising,20,0.8,0.1,True,False,0.3876,0.3855,0.0021,0.415,0.415,0.0,3.0,0.6684
