task_type,steps,threshold,corruption_rate,enable_thresholding,enable_remasking,diffusion_bleu,baseline_bleu,bleu_delta,diffusion_rouge1,baseline_rouge1,rouge1_delta,final_masked_tokens,final_mean_confidence
denoising,3,0.5,0.1,True,False,0.4277,0.4197,0.0079,0.4412,0.4363,0.0048,3.0,0.7141
denoising,3,0.8,0.1,True,False,0.4273,0.4304,-0.0031,0.4404,0.4424,-0.002,2.0,0.714
denoising,30,0.5,0.3,True,False,0.4269,0.418,0.0089,0.4381,0.4345,0.0036,2.0,0.7105
denoising,1,0.7,0.1,True,False,0.4263,0.4238,0.0026,0.4395,0.4382,0.0013,2.0,0.7349
denoising,30,0.7,0.1,True,False,0.4213,0.4213,0.0001,0.436,0.4374,-0.0015,2.0,0.698
denoising,30,0.8,0.1,True,False,0.4202,0.4228,-0.0026,0.4344,0.4381,-0.0037,7.0,0.7122
denoising,30,0.6,0.1,True,False,0.4178,0.4151,0.0027,0.434,0.4323,0.0017,0.0,0.7077
denoising,25,0.7,0.1,True,False,0.4156,0.4189,-0.0033,0.4309,0.4332,-0.0023,4.0,0.7227
denoising,30,0.5,0.1,True,False,0.4143,0.3588,0.0555,0.4309,0.4029,0.028,1.0,0.7015
denoising,20,0.8,0.1,True,False,0.4141,0.4235,-0.0093,0.429,0.4382,-0.0092,3.0,0.6954
